,industry_id,export_ind
0,Agriculture,6901836.168029096
1,Livestock,505561.74256884295
2,Forestry and Logging,4279263.5836964175
3,Fishing & Aquaculture,458497.9961249033
4,Coal & Lignite,247789.4621790405
5,Crude Petroleum,0.0
6,Natural Gas,0.0
7,Iron Ores,1655946.027531851
8,Non ferrous metal ores,501506.3808039212
9,Other Mining,1418094.9544596195
10,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",6241087.92052972
11,Manufacture of dairy products,279553.15376875247
12,"Manufacture of grain mill products, etc. and animal feeds",6691126.683678307
13,Manufacture of other food products,6759989.103115739
14,Manufacture of beverages,495692.4755661131
15,Manufacture of tobacco products,863115.2913455055
16,Manufacture of textiles + cotton ginning,19352492.50346467
17,"Manufacture of wearing apparel, except custom tailoring",10800945.142844282
18,Manufacture of leather and related products,4724542.213341637
19,Manufacture of Basic Iron and Steel + Casting of iron and steel,14587178.854289494
20,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,8544644.488168422
21,"Manufacture of fabricated metal products, except machinery and equipments",5771575.438257847
22,"Manufacture of electronic component, consumer electronics, magnetic and optical media",1316938.4632066425
23,Manufacture of computer and peripheral equipment,332010.1811415334
24,Manufacture of communication equipments,2944025.2999806954
25,Manufacture of optical and electronics products n.e.c,502231.4093094421
26,Manufacture of Electrical equipments,7326361.853532948
27,Manufacture of machinery and equipments n.e.c,10767880.224344268
28,Manufacture of Transport,17159687.575236302
29,Manufacture of coke and refined petroleum products,62043869.10937185
30," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",14449782.346944323
31,Manufacture of pharmaceutical; medicinal chemicals and botanical products,11104780.93326082
32,Manufacture of rubber & plastic products,6084808.569999505
33,Manufacture of other non-metallic mineral products,2776396.2517099786
34,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",511543.4524825952
35,Manufacture of paper and paper products,867667.7914459944
36,Printing and reproduction of recorded media except publishing,614592.7626968331
37,Manufacture of furniture,583827.962916627
38,Other Manufacturing,37205623.42789184
39,Repair and installation of machinery and equipments,50573.01656373356
40,Construction,788737.2378197814
41,Electricity,0.0
42,Gas,0.0
43,Water supply,0.0
44,Railway Transport,0.0
45,Land Transport,0.0
46,Water Transport,5966785.473604508
47,Air Transport,3442947.776645849
48,Supportive & Auxilliary transport activities,0.0
49,Storage & warehousing,0.0
50,Communication,1750137.5899053155
51,Trade,0.0
52,Hotels & Restaurant,0.0
53,Financial Services,5887082.880476815
54,Insurance Services,2603345.956796121
55,Ownership of dwellings,0.0
56,Education & Research,0.0
57,Medical and Health,0.0
58,Legal Services,0.0
59,Computer related services,61422098.70017526
60,Other Business services,51423611.397742085
61,Real estate activities,0.0
62,Renting of machinery and equipment,0.0
63,"Community, Social & personal services",0.0
64,Other services,385296.7112724417
65,Public admn. & defence,0.0
