,industry_id,gst_gap_domestic
0,Agriculture,-2239.251363287235
1,Livestock,-136.664404380997
2,Forestry and Logging,-2396.844806427398
3,Fishing & Aquaculture,185.58451394173005
4,Coal & Lignite,3580.895468336406
5,Crude Petroleum,30244.110036157126
6,Natural Gas,-1101.437728270027
7,Iron Ores,-3554.140181132323
8,Non ferrous metal ores,-1387.5198952650933
9,Other Mining,34851.716331822674
10,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",-6072.512192584503
11,Manufacture of dairy products,11292.814242191762
12,"Manufacture of grain mill products, etc. and animal feeds",15103.477356554038
13,Manufacture of other food products,9756.522176636183
14,Manufacture of beverages,10776.265741704317
15,Manufacture of tobacco products,52887.309774923226
16,Manufacture of textiles + cotton ginning,-13570.047166388096
17,"Manufacture of wearing apparel, except custom tailoring",-10250.22049705009
18,Manufacture of leather and related products,-345.6993614390366
19,Manufacture of Basic Iron and Steel + Casting of iron and steel,-124702.78189549426
20,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,-53025.083249642295
21,"Manufacture of fabricated metal products, except machinery and equipments",-13437.53612535961
22,"Manufacture of electronic component, consumer electronics, magnetic and optical media",-7268.6996817111285
23,Manufacture of computer and peripheral equipment,-8603.063456580334
24,Manufacture of communication equipments,-4372.718211050597
25,Manufacture of optical and electronics products n.e.c,-3102.2156853133356
26,Manufacture of Electrical equipments,-66451.42126367311
27,Manufacture of machinery and equipments n.e.c,-80904.17625111571
28,Manufacture of Transport,-45852.09546427106
29,Manufacture of coke and refined petroleum products,-66229.56638954295
30," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",-35616.790852885635
31,Manufacture of pharmaceutical; medicinal chemicals and botanical products,-12562.178434536734
32,Manufacture of rubber & plastic products,-53067.971662896365
33,Manufacture of other non-metallic mineral products,-27273.819525004576
34,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",-1807.2031945922581
35,Manufacture of paper and paper products,-35528.396788897524
36,Printing and reproduction of recorded media except publishing,8383.4297163588
37,Manufacture of furniture,7371.14010966686
38,Other Manufacturing,-23069.704995075226
39,Repair and installation of machinery and equipments,-500.90230851535847
40,Construction,552422.7343786351
41,Electricity,120854.3243184388
42,Gas,7363.800217646339
43,Water supply,25788.900443060033
44,Railway Transport,15044.523590896519
45,Land Transport,116418.00955468562
46,Water Transport,-12787.468075874775
47,Air Transport,-9129.230536315039
48,Supportive & Auxilliary transport activities,19411.23010940852
49,Storage & warehousing,3563.0502283595556
50,Communication,12444.125043192349
51,Trade,280214.01693873096
52,Hotels & Restaurant,96663.48542910063
53,Financial Services,158009.49483060007
54,Insurance Services,26995.11799709235
55,Ownership of dwellings,0.0
56,Education & Research,122897.28662178629
57,Medical and Health,70666.66640712989
58,Legal Services,16799.898771338994
59,Computer related services,-85507.7585063903
60,Other Business services,-82625.23119725249
61,Real estate activities,8703.103333942578
62,Renting of machinery and equipment,7052.286274502703
63,"Community, Social & personal services",-396.47456226926505
64,Other services,25420.72814149494
65,Public admn. & defence,0.0
