,industry_id,gst_potential
0,"('Agriculture',)",756654.2538570953
1,"('Livestock',)",757079.3924133257
2,"('Forestry and Logging',)",1306453.17270496
3,"('Fishing & Aquaculture',)",200419.15241478823
4,"('Coal & Lignite',)",1138738.7904209597
5,"('Crude Petroleum',)",721659.2152834575
6,"('Natural Gas',)",-293327.39561401925
7,"('Iron Ores',)",164515.47598947387
8,"('Non ferrous metal ores',)",-73377.7219258601
9,"('Other Mining',)",366351.6660652272
10,"('Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats',)",710396.7344941392
11,"('Manufacture of dairy products',)",2531442.446829151
12,"('Manufacture of grain mill products, etc. and animal feeds',)",4215291.032025462
13,"('Manufacture of other food products',)",2784346.4648385886
14,"('Manufacture of beverages',)",517266.43077922246
15,"('Manufacture of tobacco products',)",1738779.9241021252
16,"('Manufacture of textiles + cotton ginning',)",1291192.4662536997
17,"('Manufacture of wearing apparel, except custom tailoring',)",-932887.4782623763
18,"('Manufacture of leather and related products',)",460292.66707636905
19,"('Manufacture of Basic Iron and Steel + Casting of iron and steel',)",4301881.26643993
20,"('Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals',)",-536096.3688613743
21,"('Manufacture of fabricated metal products, except machinery and equipments',)",2896688.277288092
22,"('Manufacture of electronic component, consumer electronics, magnetic and optical media',)",1022561.9262833027
23,"('Manufacture of computer and peripheral equipment',)",-178974.7475750636
24,"('Manufacture of communication equipments',)",-21747.34977699374
25,"('Manufacture of optical and electronics products n.e.c',)",162003.3890650648
26,"('Manufacture of Electrical equipments',)",-49539.06211929256
27,"('Manufacture of machinery and equipments n.e.c',)",-1027300.1881464124
28,"('Manufacture of Transport',)",4517496.037383253
29,"('Manufacture of coke and refined petroleum products',)",9290936.82835218
30,"(' Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products',)",2856994.0949401166
31,"('Manufacture of pharmaceutical; medicinal chemicals and botanical products',)",1128986.1218795632
32,"('Manufacture of rubber & plastic products',)",401823.3619829898
33,"('Manufacture of other non-metallic mineral products',)",4109882.8919586292
34,"('Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material',)",642527.4826303646
35,"('Manufacture of paper and paper products',)",-1034676.0663389512
36,"('Printing and reproduction of recorded media except publishing',)",693208.4449576861
37,"('Manufacture of furniture',)",937707.1274039188
38,"('Other Manufacturing',)",1350186.497337252
39,"('Repair and installation of machinery and equipments',)",140910.5819439334
40,"('Construction',)",37671328.7399518
41,"('Electricity',)",1454674.9697651265
42,"('Gas',)",-1471689.9545127756
43,"('Water supply',)",152179.95109335057
44,"('Railway Transport',)",-875222.8633490247
45,"('Land Transport',)",-4146091.1449245643
46,"('Water Transport',)",-618861.0268754081
47,"('Air Transport',)",-1031386.0084984391
48,"('Supportive & Auxilliary transport activities',)",1991481.970466773
49,"('Storage & warehousing',)",278118.84329461947
50,"('Communication',)",3923374.8169195317
51,"('Trade',)",24712835.355724003
52,"('Hotels & Restaurant',)",753016.4179847222
53,"('Financial Services',)",14331366.691005306
54,"('Insurance Services',)",2270326.8253397504
55,"('Ownership of dwellings',)",15823435.300282586
56,"('Education & Research',)",10313144.465849983
57,"('Medical and Health',)",4698959.885677505
58,"('Legal Services',)",1297029.5540361344
59,"('Computer related services',)",-3081093.323805892
60,"('Other Business services',)",-3539398.1063862476
61,"('Real estate activities',)",1475974.4499369438
62,"('Renting of machinery and equipment',)",565575.8991171658
63,"('Community, Social & personal services',)",-5010440.320772743
64,"('Other services',)",2845779.4161753133
65,"('Public admn. & defence',)",-6858716.54509431
