,industry_id,itc_ind
0,Agriculture,807370.0624723024
1,Livestock,72534.26558216606
2,Forestry and Logging,1387439.0713888796
3,Fishing & Aquaculture,140498.27341211593
4,Coal & Lignite,1304669.2780319473
5,Crude Petroleum,4340350.482496244
6,Natural Gas,1160552.1554737124
7,Iron Ores,785437.6890955161
8,Non ferrous metal ores,282953.26084388455
9,Other Mining,640436.9791840849
10,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",1380196.3225200356
11,Manufacture of dairy products,981464.8453321038
12,"Manufacture of grain mill products, etc. and animal feeds",567830.9407020113
13,Manufacture of other food products,1801702.300284076
14,Manufacture of beverages,291765.5164701735
15,Manufacture of tobacco products,4736340.27097017
16,Manufacture of textiles + cotton ginning,3222262.8731265087
17,"Manufacture of wearing apparel, except custom tailoring",1103043.0213138268
18,Manufacture of leather and related products,239356.1501950139
19,Manufacture of Basic Iron and Steel + Casting of iron and steel,17173805.287864845
20,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,6620677.58270912
21,"Manufacture of fabricated metal products, except machinery and equipments",5102771.458546264
22,"Manufacture of electronic component, consumer electronics, magnetic and optical media",1138334.6751652418
23,Manufacture of computer and peripheral equipment,958731.7705900976
24,Manufacture of communication equipments,316424.08436930605
25,Manufacture of optical and electronics products n.e.c,314795.9871779853
26,Manufacture of Electrical equipments,7531833.795209411
27,Manufacture of machinery and equipments n.e.c,11376824.158586796
28,Manufacture of Transport,17056349.090410266
29,Manufacture of coke and refined petroleum products,23731546.221739937
30," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",7061474.2632652875
31,Manufacture of pharmaceutical; medicinal chemicals and botanical products,1873417.7060186912
32,Manufacture of rubber & plastic products,6391274.725879485
33,Manufacture of other non-metallic mineral products,12811749.793361794
34,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",385196.43030833476
35,Manufacture of paper and paper products,4208243.277981181
36,Printing and reproduction of recorded media except publishing,708797.8469063571
37,Manufacture of furniture,516485.535577122
38,Other Manufacturing,1789133.9798813062
39,Repair and installation of machinery and equipments,152479.20593012508
40,Construction,41448195.92966819
41,Electricity,16249258.668822626
42,Gas,2590861.4079491394
43,Water supply,1278195.2226325287
44,Railway Transport,3165025.209739981
45,Land Transport,16371022.810315987
46,Water Transport,577736.8976015466
47,Air Transport,2596361.5516196536
48,Supportive & Auxilliary transport activities,4113120.030549294
49,Storage & warehousing,176748.97972975654
50,Communication,14643643.32542198
51,Trade,24877403.690326557
52,Hotels & Restaurant,2522498.6929249023
53,Financial Services,8453276.69096611
54,Insurance Services,1581764.7930485157
55,Ownership of dwellings,0.0
56,Education & Research,3967763.3497477197
57,Medical and Health,1330646.7276114402
58,Legal Services,398834.05345624546
59,Computer related services,9735535.005058592
60,Other Business services,8201414.852379779
61,Real estate activities,4963635.059973976
62,Renting of machinery and equipment,433353.4751107693
63,"Community, Social & personal services",862839.0308942669
64,Other services,2046406.2802918646
65,Public admn. & defence,0.0
