,industry_id,output_tax
0,Agriculture,809892.2649650737
1,Livestock,169313.55006144338
2,Forestry and Logging,702376.410940622
3,Fishing & Aquaculture,19032.634535337333
4,Coal & Lignite,1796691.8902119761
5,Crude Petroleum,3264115.02971343
6,Natural Gas,1133660.0035627142
7,Iron Ores,554598.2941118715
8,Non ferrous metal ores,184992.48352554112
9,Other Mining,5590290.596156505
10,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",1083001.8327631843
11,Manufacture of dairy products,2571727.012108252
12,"Manufacture of grain mill products, etc. and animal feeds",2846643.646488026
13,Manufacture of other food products,4383352.272848421
14,Manufacture of beverages,1301133.685475672
15,Manufacture of tobacco products,13576990.264700128
16,Manufacture of textiles + cotton ginning,2984388.062686959
17,"Manufacture of wearing apparel, except custom tailoring",326151.320094965
18,Manufacture of leather and related products,299410.5463099706
19,Manufacture of Basic Iron and Steel + Casting of iron and steel,9377986.382245243
20,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,1893479.4231683246
21,"Manufacture of fabricated metal products, except machinery and equipments",4502180.378408062
22,"Manufacture of electronic component, consumer electronics, magnetic and optical media",888830.1757860658
23,Manufacture of computer and peripheral equipment,293966.57118994044
24,Manufacture of communication equipments,1648.6469281482618
25,Manufacture of optical and electronics products n.e.c,205041.76161473023
26,Manufacture of Electrical equipments,2714370.7797920085
27,Manufacture of machinery and equipments n.e.c,6208760.12420465
28,Manufacture of Transport,17860282.514502604
29,Manufacture of coke and refined petroleum products,19263019.804753218
30," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",7290241.767346926
31,Manufacture of pharmaceutical; medicinal chemicals and botanical products,1685671.6520928033
32,Manufacture of rubber & plastic products,3020700.186640842
33,Manufacture of other non-metallic mineral products,13170200.032324871
34,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",240837.4824147911
35,Manufacture of paper and paper products,1190497.9452051015
36,Printing and reproduction of recorded media except publishing,1751413.8829853043
37,Manufacture of furniture,1414696.6051147059
38,Other Manufacturing,115967.04504572685
39,Repair and installation of machinery and equipments,150375.76948770232
40,Construction,101961859.84129311
41,Electricity,13812432.713437244
42,Gas,3508253.85048537
43,Water supply,2719189.7910135207
44,Railway Transport,4923511.866107915
45,Land Transport,29536809.671108223
46,Water Transport,-654992.7610031606
47,Air Transport,1823581.4754370353
48,Supportive & Auxilliary transport activities,6383612.945066395
49,Storage & warehousing,562053.8204162337
50,Communication,16777099.7192541
51,Trade,55776667.126665175
52,Hotels & Restaurant,12851958.942989765
53,Financial Services,25656762.71261304
54,Insurance Services,4550908.58166571
55,Ownership of dwellings,0.0
56,Education & Research,17141950.818694346
57,Medical and Health,8854153.682707284
58,Legal Services,2191918.5045737405
59,Computer related services,2115498.2532279766
60,Other Business services,660835.1378223912
61,Real estate activities,6151330.41053957
62,Renting of machinery and equipment,1200524.5575903754
63,"Community, Social & personal services",963486.4745161304
64,Other services,4843540.963855019
65,Public admn. & defence,0.0
