,industry_id,tax_itc_ind
0,Agriculture,47055.36723278724
1,Livestock,29664.15513782822
2,Forestry and Logging,8790.588700023589
3,Fishing & Aquaculture,2794.323446361065
4,Coal & Lignite,9226.89761537224
5,Crude Petroleum,21346.164011780274
6,Natural Gas,6233.620118899391
7,Iron Ores,5582.977489318275
8,Non ferrous metal ores,1596.8644730911167
9,Other Mining,4314.245822286672
10,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",11197.524868920847
11,Manufacture of dairy products,1964.1092596953267
12,"Manufacture of grain mill products, etc. and animal feeds",3549.774196666555
13,Manufacture of other food products,11731.92257868851
14,Manufacture of beverages,1872.1900618554232
15,Manufacture of tobacco products,74747.27117751978
16,Manufacture of textiles + cotton ginning,85697.60779528186
17,"Manufacture of wearing apparel, except custom tailoring",28389.72182797183
18,Manufacture of leather and related products,2376.2941924187908
19,Manufacture of Basic Iron and Steel + Casting of iron and steel,137906.10381239108
20,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,62866.92721935621
21,"Manufacture of fabricated metal products, except machinery and equipments",35154.21252588626
22,"Manufacture of electronic component, consumer electronics, magnetic and optical media",21035.852640671917
23,Manufacture of computer and peripheral equipment,21343.96964533822
24,Manufacture of communication equipments,7600.0609633448385
25,Manufacture of optical and electronics products n.e.c,8338.4265039039
26,Manufacture of Electrical equipments,74444.68834983185
27,Manufacture of machinery and equipments n.e.c,170076.9933013668
28,Manufacture of Transport,239500.0757786527
29,Manufacture of coke and refined petroleum products,23585.602224924478
30," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",101845.43048191803
31,Manufacture of pharmaceutical; medicinal chemicals and botanical products,40766.33308438523
32,Manufacture of rubber & plastic products,58331.18540550782
33,Manufacture of other non-metallic mineral products,27388.369742083174
34,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",2637.561419046308
35,Manufacture of paper and paper products,10118.267122238842
36,Printing and reproduction of recorded media except publishing,12517.81209031056
37,Manufacture of furniture,7607.216058328221
38,Other Manufacturing,46384.31731438137
39,Repair and installation of machinery and equipments,1897.9847175088642
40,Construction,277586.9110310406
41,Electricity,35663.535440792315
42,Gas,14299.983189545437
43,Water supply,3612.7061912548074
44,Railway Transport,18009.628351707986
45,Land Transport,70553.6526981404
46,Water Transport,3356.5713204084996
47,Air Transport,16205.136356141149
48,Supportive & Auxilliary transport activities,19020.520230859012
49,Storage & warehousing,3321.737001569413
50,Communication,45328.84982504708
51,Trade,73102.23333302468
52,Hotels & Restaurant,43272.91496377333
53,Financial Services,20358.612791019114
54,Insurance Services,7334.796370051972
55,Ownership of dwellings,4478.74669904124
56,Education & Research,12769.24767081791
57,Medical and Health,31530.610503551863
58,Legal Services,2324.754344629158
59,Computer related services,21357.614558067453
60,Other Business services,13041.014834791893
61,Real estate activities,12371.649797049258
62,Renting of machinery and equipment,3149.477440379817
63,"Community, Social & personal services",23935.084364813367
64,Other services,7894.540130396357
65,Public admn. & defence,71173.07957466894
