,industry_id,GST potential
0,"('Agriculture',)",15235.64936082175
1,"('Livestock',)",12693.853734470347
2,"('Forestry and Logging',)",13723.811334774062
3,"('Fishing & Aquaculture',)",202.28853894677385
4,"('Coal & Lignite',)",16220.959648541975
5,"('Crude Petroleum',)",7193.223057237915
6,"('Natural Gas',)",-3586.6033712814324
7,"('Iron Ores',)",-2424.710066091837
8,"('Non ferrous metal ores',)",-779.3993754341436
9,"('Other Mining',)",3999.7514609059144
10,"('Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats',)",16902.608162870467
11,"('Manufacture of dairy products',)",35468.178463077435
12,"('Manufacture of grain mill products, etc. and animal feeds',)",52472.54035792231
13,"('Manufacture of other food products',)",48030.59637482893
14,"('Manufacture of beverages',)",5813.116506068601
15,"('Manufacture of tobacco products',)",17500.225656895127
16,"('Manufacture of textiles + cotton ginning',)",11889.551421743761
17,"('Manufacture of wearing apparel, except custom tailoring',)",-5064.212235412626
18,"('Manufacture of leather and related products',)",12091.62757985778
19,"('Manufacture of Basic Iron and Steel + Casting of iron and steel',)",58516.68261217425
20,"('Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals',)",-3698.49162388082
21,"('Manufacture of fabricated metal products, except machinery and equipments',)",34711.08911574532
22,"('Manufacture of electronic component, consumer electronics, magnetic and optical media',)",10996.924814579557
23,"('Manufacture of computer and peripheral equipment',)",-1877.108463954951
24,"('Manufacture of communication equipments',)",1490.6152804228925
25,"('Manufacture of optical and electronics products n.e.c',)",1711.0779892272164
26,"('Manufacture of Electrical equipments',)",9166.039331443915
27,"('Manufacture of machinery and equipments n.e.c',)",-299.2485569069069
28,"('Manufacture of Transport',)",63697.20016820086
29,"('Manufacture of coke and refined petroleum products',)",124381.49992294222
30,"(' Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products',)",24380.829590333597
31,"('Manufacture of pharmaceutical; medicinal chemicals and botanical products',)",18343.792478763153
32,"('Manufacture of rubber & plastic products',)",5623.694173911822
33,"('Manufacture of other non-metallic mineral products',)",58960.49657332505
34,"('Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material',)",6977.562532863742
35,"('Manufacture of paper and paper products',)",-10137.085896446857
36,"('Printing and reproduction of recorded media except publishing',)",7016.17602448037
37,"('Manufacture of furniture',)",12257.45622108864
38,"('Other Manufacturing',)",16773.69157986635
39,"('Repair and installation of machinery and equipments',)",1332.6406926433656
40,"('Construction',)",319624.0565054247
41,"('Electricity',)",18723.24256106936
42,"('Gas',)",-17234.1288732063
43,"('Water supply',)",1087.2585631705265
44,"('Railway Transport',)",-10481.398435890958
45,"('Land Transport',)",-51266.28395295988
46,"('Water Transport',)",3363.3571781357255
47,"('Air Transport',)",-11138.338816509075
48,"('Supportive & Auxilliary transport activities',)",17479.767941390015
49,"('Storage & warehousing',)",2471.3626520056064
50,"('Communication',)",28648.76581906827
51,"('Trade',)",242163.73436970534
52,"('Hotels & Restaurant',)",12157.135889467998
53,"('Financial Services',)",147892.7723767333
54,"('Insurance Services',)",26124.648281731872
55,"('Ownership of dwellings',)",158179.59528491067
56,"('Education & Research',)",94472.70114482469
57,"('Medical and Health',)",42172.665724245475
58,"('Legal Services',)",12677.58239358347
59,"('Computer related services',)",64491.29416638645
60,"('Other Business services',)",48115.99563043304
61,"('Real estate activities',)",12754.609560150526
62,"('Renting of machinery and equipment',)",5308.785752977649
63,"('Community, Social & personal services',)",14474.362546096234
64,"('Other services',)",21899.742118622646
65,"('Public admn. & defence',)",145861.39730431247
